"University" ,"Guidelines"


"University of California  Santa Barbara",  "UCSB s Office of Teaching and Learning recognizes significant opportunities and challenges associated with the widespread accessibility of AI-assistive technologies  including those that assist with forms of composing like writing  coding  drawing  and completing equations. This document is intended to provide guidance about the ethical use of these technologies by both instructors and students. Communicate expectations for student use of AI-writing assistive technologies in courses and/or other documents such as theses  dissertations  research articles  etc. The use of AI writing technologies falls within the purview of the Student Conduct Code and the Student Guide to Academic Integrity. It states that  Materials (written or otherwise) submitted to fulfill academic requirements must represent a student s own efforts unless otherwise permitted by an instructor.  Therefore  student use of AI-assistive technology for writing is not allowed in courses  on theses  dissertations  research articles  etc. unless specifically allowed by the instructor or supervisor. Explain  why.  As AI tools become more integrated with commonly used programs (e.g. GoogleDocs)  it becomes increasingly important for instructors to explain why and how AI tools should/should not be used. Considerations may include: the accuracy/credibility of AI generated work  potential bias of AI-generated results  developing students  critical thoughts/voice/skills  etc.Consider including a policy statement specifically about the use of AI tools (see examples in Sample Language for Syllabus Policies). See #5 for ideas about how to use LLM/AI in courses. Use AI-Writing Assistance technologies for plagiarism detection  grading and feedback ethically UCSB does not support the use of plagiarism detection software (e.g. Turnitin  ChatGPT Zero) for several reasons: Anti-plagiarism software is highly fallible. LLMs are advancing at lightning speed with huge injections of capital. Procuring  anti  LLM software contributes to a virtual arms race  with detection software always one step behind what LLMs can produce.Submitting student work to anti-plagiarism software may violate students  intellectual property rights.  When student work is uploaded into a AI-Writing/plagiarism detector database  the student may lose ownership of their work and the instructor/University unable to safeguard how it is shared and used in the electronic commons. Use of anti-plagiarism software can undermine the fundamental relationship of trust that must exist between learners and teachers. To move from  detection  of LLM use to  prevention   instructors can  consider  how students can use LLMs as a tool to support their work  and/or craft assignments and activities that cannot be produced by LLMs (see Incorporating AI-Writing Assistance technologies into courses  below). While this approach may represent a shift in perspective or assignments  Office of Teaching and Learning instructional consultants offer extensive support for instructors who would like to pursue this approach. Instructors and TAs should not use AI-assistive technology for grading and feedback unless the technology is supported by UCSB (e.g. use of GradeScope is permitted  as UCSB has a contract for its use and the technology has been vetted for FERPA compliance)  for the reasons outlined above.Report unauthorized student use of AI-assisted writing technologies The Office of Student Conduct adjudicates academic and behavioral violations of the Student Conduct Code. If you suspect unauthorized use of AI technologies  submit an incident report. Be sure to include any samples of earlier/baseline student writing to which the writing in question can be compared. Avoid issues with student use of AI-assistive technologies. Scaffold writing assignments  so that students are writing smaller pieces that will be incorporated into larger assignments with opportunities to incorporate feedback. Add brief reflective writing to assignments that ask students to analyze the choices that they made as they compiled the writing (give examples). Talk with students about the purpose of writing in the course and work with students to use LLMs in productive ways Assign topics that require personal reflection or creative thinking. For example  ask students to reflect on a personal experience related to the course material. Consider incorporating AI Writing Assistance technologies into your course  Create assignments where students use LLMs as part of the writing/thinking activities. You can get inspiration by browsing 101 Creative Ideas to Use AI in Education and other resources under  Ideas for use  at the end of this document. Stimulate discussions about writing processes  strategies  and ethics through discussions of AI writing technology. Work with your students to generate diverse examples  compare and contrast them with student work  and examine their strengths and weaknesses collaboratively. Encourage student creativity and curiosity by leveraging AI writing technology to create prompts  topics  or questions for exploration. Challenge students to interrogate how AI writing technology can help them compose pieces across various genres  styles  and perspectives. Invite students to utilize AI to generate text in specific genres in order to recognize and identify genre conventions and reflect upon the role of audience  purpose  and context in developing rhetorically effective prose. Encourage students to compare AI-generated text with human-generated text to see how individual agency  voice  and ethos impact text. Examine the potential for and risks of integrating AI writing tools into the research process  given that LLMs can  hallucinate  and generate false facts  statements  or sources. Urge students to cross-check AI-generated information and develop critical appraisal skills to maintain the credibility and precision of their work. Examine and address potential biases and fairness concerns that may arise from AI writing technology  including the perpetuation of stereotypes or the exclusion of specific perspectives. Promote critical thinking and discussions to recognize and counteract biases in AI-generated content. Think about your course objectives. What are the cognitive tasks students need to perform without AI assistance? When should students rely on AI assistance? Where can an AI aid facilitate a better outcome? Are new rubrics and assignment descriptions needed?"

"The University of Chicago",  "Generative artificial intelligence (AI) tools offer many capabilities and efficiencies that can greatly enhance our work. When using these tools  members of the University community must also consider issues related to information security  privacy  compliance  and academic integrity.  Below are some guidelines on using and procuring generative AI tools such as OpenAI s ChatGPT  Microsoft s Bing  and Google s Bard. Please note that these guidelines are not a new University policy  but are extensions of existing University policies. 1. Protection of University Data The use of confidential data with publicly available generative AI tools is prohibited without prior security and privacy review. This includes personally identifiable employee data  FERPA-covered student data  HIPAA-covered patient data  and may include research that is not yet publicly available. Some grantors  including the National Institutes of Health  have policies prohibiting the use of generative AI tools in analyzing or reviewing grant applications or proposals. Information shared with publicly available generative AI tools may expose sensitive information to unauthorized parties or violate data use agreements. (Please see Policy 601 for definitions of confidential data and its use for more information.) 2. Responsibility for Content Accuracy and Ownership AI-generated content may be misleading or inaccurate. Generative AI technology may create citations to content that does not exist. Responses from generative AI tools may contain content and materials from other authors and may be copyrighted. It is the responsibility of the tool user to review the accuracy and ownership of any AI-generated content. 3. Academic Integrity For guidance on how generative AI tools intersect with academic honesty  it is recommended that instructors contact the Chicago Center for Teaching and Learning. (See Academic Honesty & Plagiarism in the Student Manual for University policy.) 4. Procuring and Acquiring Generative AI Tools Generative AI systems  applications  and software products that process  analyze  or move confidential data require a security review before they are acquired  even if the software is free. This review will help ensure the security and privacy of University data. Please contact IT Services at itrisk@uchicago.edu before acquiring or using any tools  add-ons  or modules that include generative AI technology with University confidential data  even if they are free. For more information  see the Policy on the Use of External Services and the Policy of Procurement and Engagement."

"University of California  San Diego" , "Introduction With technology advancements such as ChatGPT  Google Bard  and other AI-driven platforms  there's growing enthusiasm within our UC San Diego community to leverage these tools and integrate them into our ecosystem. This guide serves to advise UC San Diego staff on safe and compliant use  ensuring we do not compromise institutional  personal  or proprietary data. This guide does not include guidance for faculty on acceptable use for pedagogical purposes. Guidance tailored to faculty needs may be sought through appropriate channels within the university. Recognizing the dynamic nature of the AI field  this content will be updated regularly to align with the constantly evolving landscape. What is Generative AI? Generative Artificial Intelligence (GenAI) encompasses a range of technologies designed to create new  original content by leveraging extensive training on diverse datasets—ranging from text and music to images. Notable among these tools is ChatGPT  a chatbot equipped to engage users through natural language interactions.  Chat  signifies the user-friendly interface  while  GPT  (Generative Pre-trained Transformer) indicates the underlying machine learning architecture responsible for content generation.GenAI tools like ChatGPT  DALL∙E  and Google Bard excel at generating text  music  images  and even computer code. These models undergo rigorous training on comprehensive datasets  which include an assortment of text from books  websites  and various other sources. By decoding complex patterns and linguistic nuances  they can produce content that is not only contextually appropriate but also grammatically accurate and stylistically coherent. How Generative AI Can Administrative Assistance: Automate routine communications like operational change reminders and policy updates  and summarize public-facing content for ease of access. Coding and Web Development: Draft code for common programming tasks  accelerating the development process. Event Planning: Automate the creation of event descriptions  schedules  and promotional material for public calendars. Image and Video Production: Edit and create images  as well as voiceover tracks for videos  to elevate your media production.Job Descriptions and Postings: Use templates to suggest customized language for position overviews  key responsibilities  and qualifications. Review the language to ensure it is free from unintended biases  as biased wording may discourage certain groups from applying  potentially impacting the diversity of the applicant pool. Language Translation: Generate translations while recommending consultation with native speakers for accuracy and appropriate tone. Training & Onboarding: Develop training materials and FAQs for new tools  and automate responses to common questions during staff training sessions. Website and Communications Content: Edit text for clarity and grammar  suggest optimal layouts  headlines  and meta descriptions  and draft content for course listings  prerequisites  or institutional information. Guidelines for Protecting Institutional Information When Using Generative AI Tools When using tools not covered by UC San Diego or University of California contracts  be careful with the institutional data you share. Do not use ChatGPT or similar tools for confidential or sensitive information. As a standard practice  never share Personally Identifiable Information (PII)  FERPA-protected student records  or data classified as P3 or P4 with any service provider without proper contractual safeguards. If you're uncertain about the data classification applicable to your specific scenario  consult the UCOP website for guidance on information classification. As a user of commercial GenAI services  it's crucial to know your responsibilities when using a service. Both OpenAI  the company behind ChatGPT  and Google set clear restrictions on using their tools for fraudulent or illegal activities. For complete details  refer to OpenAI's usage policy and Google Bard's Privacy Notice.Errors and  Hallucinations  When using generative AI tools like ChatGPT  Google Bard  and similar technologies for business purposes  be vigilant about  hallucinations —moments when the AI generates unverified or incorrect information. Always cross-check the tool's output for accuracy before incorporating it into university-related tasks. While generative AI is potent  it can occasionally produce false or misleading content. Ensure all facts and figures generated by these tools are independently verified through non-AI sources before use. In other words  don't simply copy and paste what is produced into your work. Bias When using Large Language Models (LLMs) like ChatGPT within the UC San Diego community  it's important to recognize that the datasets used to train the models may be trained on incomplete or biased data. Implicit and systemic biases can inadvertently be built into AI systems. Such biases run counter to UC San Diego's institutional values of diversity  equity  and inclusion. Therefore  using outputs in a way that amplifies these biases can be contrary to our shared institutional values. Learn more about bias  inclusion  and belonging through UC San Diego HR courses on these topics or through the resources offered by the Office for Equity  Diversity  and Inclusion."


"University of Minnesota  Twin Cities",  "The use of AI in your classes Discussions about the use (and potential abuse) of artificial intelligence platforms like ChatGPT have been dominating headlines. Our entire university community is learning to adapt to this new terrain  and it can sometimes be hard to know what is or is not acceptable use. The permissibility of artificial intelligence tools will vary from course to course depending on the specific learning and assessment goals of the instructor. You may have already heard from your instructor(s) about their policy in their classes  in their assignments and on their finals. If you have not received clarification from an instructor  and if you are thinking about using ChatGPT or another AI tool for any course assignment  I encourage you to communicate with your instructor to make sure you understand what is permitted.Remember that  per the Student Conduct Code  unauthorized use of online learning support and testing platforms is considered a breach of academic integrity and is subject to the same set of sanctions that would result from other forms of scholastic dishonesty."

"Ohio State University" , "There has been a significant increase in the popularity and availability of a variety of generative artificial intelligence (AI) tools  including ChatGPT  Sudowrite and others. These tools will help shape the future of work  research and technology — but when used in the wrong way  they can stand in conflict with academic integrity at Ohio State. All students have important obligations under the Code of Student Conduct to complete all academic and scholarly activities with fairness and honesty. Our professional students also have the responsibility to uphold the professional and ethical standards found in their respective academic honor codes. Specifically  students are not to use  unauthorized assistance in the laboratory  on field work  in scholarship or on a course assignment  unless such assistance has been authorized specifically by the course instructor. In addition  students are not to submit their work without acknowledging any word-for-word use and/or paraphrasing  of writing  ideas or other work that is not your own. These requirements apply to all students — undergraduate  graduate  and professional. To maintain a culture of integrity and respect  these generative AI tools should not be used in the completion of course assignments unless an instructor for a given course specifically authorizes their use. Some instructors may approve of using generative AI tools in the academic setting for specific goals. However  these tools should be used only with the explicit and clear permission of each individual instructor  and then only in the ways allowed by the instructor."

"Pennsylvania State University",  "Artificial Intelligence (AI) tools have increased in availability  accuracy  and popularity in a short amount of time. This has raised concerns among educational institutions and instructors about the authenticity of student work and how the use of these AI tools affects the work students do in their courses and the credentials they earn because of that work. As a result of AI authoring tools  AI detection tools (AI-giarism detection) have also been developed. Responding to Artificial Intelligence Writing Tools What is ChatGPT and What Can It Be Used For? The James P. Jimirro Professor of Media Effects and Director of the Center for Socially Responsible Artificial Intelligence at Penn State  S. Shyam Sundar  and Assistant Professor of Information Sciences and Technology Director at the University's Human Language Technologies Lab  Shomir Wilson  explain what ChatGPT is and what it can be used for.  In the Penn State News article   What is ChatGPT and what can it be used for?   both Penn State artificial intelligence experts offer their perspectives on the most frequently asked questions on AI and ChatGPT . Will Artificial Intelligence Kill College Writing? Online programs can churn out decent papers on the cheap. What now? In October 2022  the Working Group of Penn State Online Coordinating Council was charged to investigate issues related to Artificial Intelligence and Academic Integrity (AI²). The AI Writing Work Group delivers recommendations for Academic Integrity definitions  policies and procedures; guidance for the design of assignments and assessments; and faculty development resources. AI Writing Work Group members  Chris Millet  Senior Director of Learning Design  World Campus and Wendy Mahan  Director of Learning Design  College of the Liberal Arts presented PowerPoint:  Will Artificial Intelligence Kill College Writing?"  

"Emory University"   ,"Copyright and AI There is some debate as to whether AI corpora and outputs are protected by fair use and/or transformative use guidelines  e.g. Fair Use: Training Generative AI (Creative Commons Article) Copyright implications in text and data mining: Resources for Text and Data Mining LibGuide Recent Cases and Legal Research on AI HeinOnline is a great source for legal research on issues of artificial intelligence and associated technologies. The link below contains a canned search for  Artificial intelligence or machine learning . Hein Online customized search  Recommended AI Blog List from TIGER (Technological Innovation:Generating Economic Results program at Emory Law and Business). Government Resources Interested in finding out what the federal government is discussing and concerned about in regards to applications of AI to federal functions  as well as in regards to privacy and ethics? Consider congressional hearings and reports  which often incorporate overviews of pending legislation and input from expert witnesses in these areas. Your best source for this source of information is ProQuest Congressional. Note thats hearings are also searchable in the library catalog."
 




"Purdue University",  "Artificial intelligence continues to emerge as a powerful tool for education. Purdue is committed to being at the forefront of translating research to practice and extending the frontiers of excellence in teaching and learning. To that end  Purdue s Office of the Vice Provost for Teaching and Learning has issued draft guidance for instructors on the use of AI in Purdue courses and learning environments for spring 2024  with input since summer from University Senate leadership  the Ad Hoc Committee on AI  the Center for Instructional Excellence  and the Innovation Hub. The draft guidance can be viewed on the Office of the Vice Provost for Teaching and Learning webpage. Topics covered include academic integrity  syllabus statements  AI detection tools and instructor responsibilities regarding grading  as well as copyright  the Family Educational Rights and Privacy Act (FERPA) and privacy considerations.The Office of the Vice Provost for Teaching and Learning is seeking feedback on this guidance and welcomes input  via the Qualtrics survey on the office s website  from faculty and staff teaching Purdue courses. The survey will remain open for feedback and review until Dec. 31. The Spring 2024 guidance will be finalized and published on Jan. 2. This guidance will be updated each semester. This guidance will continue to evolve each semester as more feedback is obtained and instructors continue to explore the opportunities these tools provide in the classroom. Separate from this guidance to instructors  Vice Provost Jenna Rickus will continue to collaborate with the University Senate on possible future updates to the academic regulations that may codify AI considerations into university policy. The Office of the Vice Provost for Teaching and Learning will hold a town hall in spring 2024 to solicit additional feedback and discuss the future direction of AI in teaching and learning. A date and more information on this event are forthcoming. In addition to faculty and staff  students will be invited to the town hall  building on conversations that took place with new students during Boiler Gold Rush this semester. To develop the most effective and comprehensive draft guidance  university leaders have collaborated with multiple entities across campus  as mentioned above. Their efforts include funding an AI Innovation Fellow  Lindsay Hamm  at the Innovation Hub to help expand the transdisciplinary network of faculty and staff who are engaged with the innovative integration of AI tools into their teaching. The Innovation Hub also funded a series of AI in teaching and learning grants to provide faculty and staff the opportunity to rapidly deploy experiments for teaching and learning in an AI-rich environment and better understand dimensions of how AI might shape the future of education. On the Teaching@Purdue website  the Innovative Learning Team has compiled resources and suggestions for instructors who want to explore generative AI in their teaching practice. All instructors are encouraged to explore these resources  reach out to the Innovative Learning Team  or participate in Teaching & Learning Community of Practice events this spring." 

"Texas A&M University" ,  "As machines get better at being machines  the primary purpose of higher education must be helping humans get better at being human. Teaching and learning do not happen in a vacuum; educators and learners must contend with emergent technologies (e.g.  Artificial Intelligence)  social movements  and the evolving demands of industry. The sudden and widespread interest in Generative Artificial Intelligence like ChatGPT in late 2022 belies the fact that we have been teaching with AI for quite some time. On this resource page  we provide some timely strategies and basic definitions  and we highlight key modes of thought and areas of skill development relevant to teaching with any technology. We also underscore some of the foundational principles of teaching and learning that bear repeating. Finally  we invite you to join the conversation. If you are utilizing technology in your instruction  we hope that you will consider sharing what you're using and how you're using it. Students of today will be expected to master the technologies of tomorrow. Major companies are already acquiring enterprise licenses for emergent technologies like ChatGPT. As such  incorporating responsible use of these tools in the teaching and learning process can provide students with invaluable experiences and opportunities to prepare to assume their responsibilities as professionals and citizens. Additionally  technologies can be tools to help facilitate and support student learning and success. Instructors can use them to enhance learning by adhering to best practices grounded in the science of teaching and learning. When you want to address and/or incorporate generative AI tools in your course  consider the following principles:Syllabus Statements: Below are two Texas A&M recommended syllabus statement options for instructors to consider adding to their syllabi  informing students of their stance on the use of AI in the course. OPTION 1: According to the Texas A&M University Definitions of Academic Misconduct  plagiarism is the appropriation of another person's ideas  processes  results or words without giving appropriate credit (aggiehonor.tamu.edu). You should credit your use of anyone else's words  graphic images  or ideas using standard citation styles. Artificial Intelligence (AI) text generators and natural language processing tools (colloquially  chatbots - such as ChatGPT)  audio  computer code  video  and image generators should not be used for any work for this class without explicit permission of the instructor and appropriate attribution. This includes  but is not limited to  This excludes pre-existing software additions such as spelling and grammar checkers  which are acceptable.With the emergence of artificial intelligence (AI) technologies  the ways in which we define our creative processes continue to transform. AI generators are rapidly evolving from simple editing for grammatical errors and spelling mistakes (Grammarly  MS Word Spell Check) to sophisticated text production (ChatGPT  Google Bard  etc.)  as well as image  computer code  and audio generation. The presence of such tools  however  does not replace our need to learn how to draft  revise  and reflect on texts  programs  drawings and how to exercise information literacy and personal responsibility in how we locate  evaluate  incorporate  and cite primary/ secondary sources. For example  the Association for Writing Across the Curriculum states the following: Writing to learn is an intellectual activity that is crucial to the cognitive and social development of learners and writers. This vital activity cannot be replaced by AI language generators (AWAC). Engaging in the various aspects of creative pursuits (e.g.  writing  coding  drawing) is critical to education in a broad sense. While AI technologies will continue shaping how we approach these creative tasks  the critical work of creativity relies on integrity  originality  and ethical conduct in regard to appropriate representation as an author or creator. Thus  submitting work with a significant percentage of AI-generated content  unless otherwise permitted  can be considered academic misconduct under Texas A&M University Student Rule 20. Students must therefore cite the use of generative AI tools and document what they have contributed to an assignment. This list represents areas of skill development relevant to teaching with technology. While all of these skills are indeed relevant outside of teaching with technology  they are especially important when seeking to develop our students' capacity for the judgment and decision-making unique to human abilities. Critical thinking involves analyzing and evaluating thinking with a view to improve it (Paul & Elder  2020). Critical thinking is useful in all domains of learning. Critical thought enables students to ask vital questions  formulate problems  assess relevant information  interpret abstract ideas  identify assumptions  draw conclusions  and create solutions. Self-directed  self-disciplined  self-monitored  and self-corrective thinking are all aspects of critical thought that can be nurtured in the learning environment and can be used to guide students as they responsibly employ emergent technologies.Data & information literacy involves the ability to know when and what data are needed  how to obtain data  how to evaluate and use data  and how to derive and communicate insights from data responsibly. With emergent technologies in view  data literacy is realized not only through healthy skepticism about what information these technologies produce but also the information that is used to create these technologies.Ethical reasoning involves making assessments between acts that benefit or enhance the livelihood of others and those that diminish the livelihood of others. Applied  ethical reasoning requires that students be able to identify ethical issues in various situations  understand their own ethical values  and be aware of multiple ethical perspectives. As students practice ethical decision making  their personal identification as an ethical decision maker develops. Examples of elements of ethical reasoning that can be developed through a course or program s curriculum include: ethical self-awareness  ethical issue recognition  and applied ethics implications and consequences. The advent of new technologies or the application of existing technologies to new contexts and use cases provides learners with urgent questions about how these technologies are developed  how they are deployed  and the outcomes that they produce.Strategically appropriate innovation and creativity can be fostered in students. Instructors can take an active role in helping students reframe their views of creativity  specifically as it pertains to what are creative skills and just who can be creative in any given discipline. This section highlights models and methods that can be used to foster creativity and innovation among students as they engage in a wide variety of instructional activities and experiences (e.g.  daily assignments  independent projects  collaborative and group work)Our world is not flat. People are interconnected in a variety of ways  including ideas. As such  current and future global citizens should have know how to interact positively and productively with others. We posit that powerful learning occurs when people are connected with others (situated learning). Ideas and learning can spread through the connections we make. Recognizing those rich experiences constitute one of the most vital aspects of higher education  we therefore encourage the design of learning experiences that promote connections while applying collaboration/teamwork skill application is important. AI tools can help to manage groupwork and to make it more productive. And those with generative capabilities can even act as a near peer - one in the zone of proximal development - for learners. With clear guidance and rational boundary setting  emergent technologies can considerably enhance collaborative efforts and even act as a member of the team. When it comes to the use of emergent technologies for teaching and learning  the possibilities are only limited to one's imagination. But some technologies have been designed expressly for instructional purposes or are so common in instructional contexts as to be nearly ubiquitous. Tools that utilize AI can be used to personalize instruction/feedback/assessment  to act as a tutor or peer reviewer  and to assist with grading."


"Rice University" , "The Glasscock School of Continuing Studies at Rice will host a course exploring the possibilities and potential perils of generative artificial intelligence (AI) starting Sept. 20. The course titled  Generative Artificial Intelligence and Humanity  is open to the public and will examine machine learning and related tools like ChatGPT for various aspects of human life  including education  work  health  creativity  equity  justice  democracy and what it means to be human. Taught by Rice faculty  the course aims to provide a comprehensive overview of the latest developments in AI and its potential impacts on society. A primary part of the Glasscock School s mission is to provide community access to Rice faculty and the incredible and transformative research that is taking place on our campus   said Robert Bruce  dean of the Glasscock School  Additionally  we exist to inform and equip our city with the latest knowledge and skills needed to navigate work and life. This course is a prime example of both of those principles. As the proliferation of AI applications has exponentially accelerated just this year  we are excited to give Houstonians access to some of the leading scholars on the subject to help them understand and navigate this brave new world.  Through a series of lectures  discussions and hands-on exercises  students will explore case studies from various domains to gain a deeper understanding of the potential benefits and drawbacks of these technologies. They will also learn about strategies for ensuring that AI is used in ways that promote equity and justice. AI and Democracy  Moshe Vardi Understanding Generative AI and Machine Learning: How Machines Learn and Decide  Vicente Ordóñez-Román A History of the Limitations and Possibilities of Artificial Intelligence  Elizabeth Petrick How Generative AI May Reshape the Workforce  Fred Oswald Responsible AI for Health  Kirsten OstherrWhat It Means to Be Human in an Age of AI: Philosophical and Ethical Issues  Rodrigo Ferreira How Human Is AI Creativity? Anthony Brandt Generative AI and Education  Richard Baraniuk  It s remarkable how many Rice faculty across disciplines are researching and teaching about the societal impact of generative AI   said Cathy Maris  the Glasscock School s assistant dean for Community Learning and Engagement.  No one field has the solutions to these complex challenges. This course gives the public access to speakers from the fields of computer science  history  psychology  English  medical humanities and music. We hope this confluence of perspectives will offer powerful insights for and with our community." 

"Rutgers University",  "While machine learning tools that  train  data in order to optimize prediction have been in the background of our lives for many years now  the November 2022 release of one particular large language model  OpenAI's ChatGPT has now become a subject of research  discussion and controversy for educators everywhere. Chatbots of this kind work through statistical modeling of data that has been  scraped  from the Internet (usually without consent). As a result of this vast access to data and a great deal of human reinforcement  chatbots and other LLMs respond to prompts with human-like outputs that can be detailed and articulate--though which may be superficial  inaccurate  biased  or  confabulated.  Students  staff  and faculty alike are naturally keen to educate themselves about these new technologies: a process of shared learning that we think of in terms of critical AI literacy. Are chatbots useful for administrative tasks  teaching  or research? Or do their problems and known harms outweigh their benefits. We at OTEAR have been following these discussions carefully and staying up-to-the-minute even as we recognize the need to provide timely advice  useful information  and a few best practices for the consideration of our instructors  students  and colleagues. The resources provided by our AI Roundtable Council   TEACHING CRITICAL AI LITERACIES: Advice for the New Semester   will walk you through a brief history of AI  a discussion of critical AI literacy (which includes detailed information about the technology's harms and limitations)  advice on academic integrity  a sample of statements for your syllabi  and a list of resources. Several members of the council have also agreed to answer any follow-up questions that you have. Announcing the AI Roundtable  a space for the Rutgers community to come together to learn about and discuss issues related to AI in Higher Education. Events held in this space will include discussions about AI and pedagogy  academic integrity and generative language models  and professional use of AI as part of academic and administrative work. Learn what AI tools can and cannot do by reading up on these tools and experimenting with them before incorporating an AI tool into a class activity or restricting its use. Test your assignments by submitting them to ChatGPT and/or other AI tools to understand what these tools produce. Become familiar with the student conduct requirements for charging students with violations of academic integrity if your choice is to restrict its use. Resources available on the OTEAR Canvas site. Consider developing assignments that require students to use higher order thinking  connect concepts to specific personal experiences  cite class readings and discussions  and make innovative connections. These types of prompts are more difficult for students to answer using AI tools. Also consider project-based learning or staged assignments that begin with work in class  perhaps in groups  to be finalized by individual students as homework. Ideas about assignment design are also available on the OTEAR Canvas site. Develop rubrics that emphasize critical thinking  application of knowledge  and evaluation of knowledge rather than the restatement of material or summary. A sample rubric is given on the OTEAR Canvas site Develop clear policies for each course. For example  begin with the Rutgers code of conduct  which mandates  that all work submitted in a course  academic research  or other activity is the student s own and created without the aid of impermissible technologies  materials  or collaborations.  It is useful to repeat the learning goals of the course and how these goals are important in the decision making process to ban or permit AI tools. Consider the discussion in Section 4 of the Advice for the New Semester. Depending on whether AI tools will be banned or permitted  add text that clearly states the conditions specific for the course  such as these below:  Use of AI such as ChatGPT is not permitted in any stages of the writing process on any assignment. Use of AI such as ChatGPT is only permitted to help you brainstorm ideas and see examples. All material you submit must be your own.   Use of AI such as ChatGPT is fully permitted  but you must cite the tool and be able to explain any work that you submit.  Schools and departments should discuss these issues as the tools and their use evolve. OTEAR is available for consultation and discussion at any time via email."


"Indiana University Bloomington" , "Since 2020  there has been an exponential increase in the investment and development of generative artificial intelligence (AI) services. Generative AI is a type of artificial intelligence system that generates new text  images  or other media in response to prompts. Notable generative AI systems include ChatGPT  Microsoft Copilot  and Google Bard. Generative AI has potential applications across a wide range of industries  including art  writing  and software development. However  there are also concerns about the potential misuse of these tools and any data shared with the services. When you provide information to these tools  such as queries  student essays  grant proposals  source code  or datasets  it is the same as posting the information on a public website. Indiana University encourages its affiliates to experiment with using these generative AI services  as long as no institutional data is submitted to them without approval. At IU  Microsoft Bing Chat Enterprise is available for use by IU faculty and staff  and it is the recommended way to use generative AI within the IU environment. As part of the university's enterprise agreement with Microsoft  Bing Chat Enterprise is approved to interact with data classified up to and including University-Internal data . To use Bing Chat Enterprise  you must be logged in with your Microsoft 365 at IU  account (your @iu.edu email address and your IU passphrase). For information about browser and app compatibility  see About Bing Chat Enterprise/Copilot at IU. To date  no other generative AI tools have been approved for data beyond Public classification  and these have not been through the Software and Services Selection Process (SSSP). Prior to the sharing of any institutional data  these services will need to go through review to ensure the necessary contracts and safeguards are in place to protect the data submitted and to ensure the algorithms in use are ethical  transparent  and beneficial to the IU community. Types of institutional data that should not be submitted to public versions of generative AI tools  even when anonymized  include: Data classified as University-Internal or higher (for examples  visit the Data Classification Matrix ) Any data that may be considered student  faculty  or staff intellectual property  unless the individual submitting that intellectual property created it Specific examples that are not appropriate for the public versions of generative AI tools include: Sharing names and information about a real student  employee  research participant  or patient Asking an AI service to summarize and grade a student paper or assignment Sharing employee-related data such as performance or benefit information for communication drafting or analysis Asking an AI service to generate code for IU systems protecting institutional data or sharing IU source code for editing Sharing grant proposals still under review With these precautions in mind  there are numerous ways to use generative AI tools without submitting university data or intellectual property. Using general queries to generate content to pull information from the AI resources is a good way to engage with the products. Students should use generative AI in ways that align with university academic integrity policies and communicate with their instructors before using generative AI in their coursework. Schools and departments may elect to further restrict generative AI. From a data management perspective  examples of acceptable uses of generative AI include: Syllabus and lesson planning: Instructors can use generative AI to help outline course syllabi and lesson plans  getting suggestions for learning objectives  teaching strategies  and assessment methods. Course materials that the instructor has authored (such as course notes) may be submitted by the instructor. Correspondence when no student or employee information is provided: Students  faculty  or staff may use fake information (such as an invented name for the recipient of an email message) to generate drafts of correspondence using AI tools  as long as they are using general queries and do not include institutional data. Professional development and training presentations: Faculty and staff can use AI to draft materials for potential professional development opportunities  including workshops  conferences  and online courses related to their field. Event planning: AI can assist in drafting event plans  including suggesting themes  activities  timelines  and checklists. Reviewing publicly accessible content: AI can help you draft a review  analyze publicly accessible content (for example  proposals  papers and articles) to aid in drafting summaries  or pull together ideas. Even if you use generative AI tools for activities that do not share personal or institutional data  you should still check the tool's output for accuracy. Since these tools have been known to produce inaccurate content (sometimes called  hallucinations )  verify any factual information generated by an AI tool  and make sure to reference the tool as you would any other source."


